iteration,energy,num_params,cnot_depth
1,-1863.4988808641783,1.3289601430816886,449.52615308761597
2,-1863.4986808314266,1.3289675192842187,447.2875499725342
3,-1863.498895803203,1.3289781202940516,431.3721799850464
4,-1863.4986398381545,1.329018051855941,429.2043490409851
5,-1863.4985582254928,1.3289705016040634,427.31970405578613
6,-1863.4989288979773,1.3289553298163246,425.2699599266052
7,-1863.49859920318,1.3290241961004514,423.090451002121
8,-1863.4989555446793,1.3289629482134044,426.6261487007141
9,-1863.4986187983288,1.329029142601844,425.7483899593353
10,-1863.498585259994,1.328966590798112,425.2639181613922
11,-1863.498616699538,1.3289603561024135,426.6657907962799
12,-1863.4987622269957,1.3289662006636074,429.44275188446045
13,-1863.4987009042409,1.3289932439625225,427.62687587738037
14,-1863.498805927306,1.3289818503937283,429.45208072662354
15,-1863.498827660807,1.3290013615521776,426.0459020137787
16,-1863.4988351051925,1.3290053981241732,428.37444710731506
17,-1863.4989284096182,1.329006780688546,428.8620800971985
18,-1863.4985387814254,1.3290241054398373,424.4188642501831
19,-1863.4986114741407,1.3289517144007992,426.7496750354767
20,-1863.4985830049532,1.3289652293238963,429.3165991306305
21,-1863.4986278412732,1.328959936864315,430.32444310188293
22,-1863.4985770733288,1.3289682717098157,430.3663799762726
23,-1863.498663877008,1.328958834088042,431.17290806770325
24,-1863.4988770863574,1.3289749694365605,429.5622878074646
25,-1863.498633646017,1.3290145765832584,430.69079208374023
26,-1863.498696913481,1.3289693506679947,431.1863832473755
27,-1863.4985617150787,1.3289811088220087,430.53082513809204
28,-1863.498892743338,1.3289559786361547,428.87366819381714
29,-1863.4987633946482,1.3290174837305073,431.39463210105896
30,-1863.4984399330128,1.328993460880144,429.4201281070709
31,-1863.4986083780389,1.328963821581392,429.580619096756
32,-1863.4985464136748,1.3289951445978172,430.05188035964966
33,-1863.4986059454034,1.3289836246482587,433.1003530025482
34,-1863.4985618313538,1.3289946923968128,432.33703088760376
35,-1863.498670658754,1.328986491266836,434.4910340309143
36,-1863.4987217355117,1.3290067203490539,431.4902422428131
37,-1863.4985361606882,1.3290162114330142,432.80001878738403
38,-1863.4986427310669,1.3289817182017607,431.4554762840271
39,-1863.4988321652418,1.3290015299671136,432.3383800983429
40,-1863.4988643505556,1.329036724545693,430.1010582447052
41,-1863.4986701456346,1.3290427014116502,429.87729382514954
42,-1863.4986971068183,1.329006624990996,430.61699199676514
43,-1863.4987955460704,1.3290116351824028,431.23928594589233
44,-1863.4984660927862,1.3290299233244331,431.4160809516907
45,-1863.4986933767798,1.3289686875431221,431.9709107875824
46,-1863.4986754317138,1.3290109420638134,430.63277292251587
47,-1863.4986397344599,1.3290076073466097,427.4279158115387
48,-1863.4987476003187,1.32900097300936,424.2570219039917
49,-1863.4987983983785,1.3290210168572847,425.1703679561615
50,-1863.4984585279522,1.3290304531166863,425.528737783432
