Ansatz,Optimiser,Hyper-params,Final energy (Ha),ΔE vs baseline (mHa),CNOT depth,Iterations,Wall-time (s)
ADAPT-VQE,hqng-la,0.05,-1870.8701430019753,56.310998024628134,320,360,1182.87
ADAPT-VQE,Adam,0.2,-1871.128727393059,-202.27339305915848,320,360,970.02
ADAPT-VQE,Adam,0.1,-1870.8935501439578,32.90385604213952,320,360,627.12
ADAPT-VQE,Adam,0.05,-1870.9057452419545,20.70875804542993,320,360,573.68
ADAPT-VQE,SPSA,0.2,-1865.0698014799818,5856.652520018088,320,360,1926.14
ADAPT-VQE,SPSA,0.1,-1865.0404055838335,5886.048416166432,320,360,1001.22
ADAPT-VQE,SPSA,0.05,-1864.8761132444774,6050.340755522484,320,360,1625.64
